name;open;high;low;close;volume;marketCap;timestamp
"2810";2003105.1579923816;2007066.9866031164;2003005.8312343617;2005190.116107218;717346990664.1533;39549679044649.04;"2024-06-27T04:00:00.000Z"
"2810";2004775.8067900594;2005434.396974006;1995669.3544731538;1995669.3544731538;709631941306.7377;39350184272690.74;"2024-06-27T05:00:00.000Z"
"2810";1995356.6832678;1996760.2744687328;1991542.8186789292;1996039.4511980563;718576954335.5215;39308897893885.09;"2024-06-27T06:00:00.000Z"
"2810";1995349.385896115;2000491.3134863013;1994547.6869378944;1998239.425394406;717388248852.1981;39387291338517.93;"2024-06-27T07:00:00.000Z"
"2810";1993169.5375008532;1997004.1658621852;1991933.2489586389;1995023.140019359;716604527648.2356;39344262120464.76;"2024-06-27T08:00:00.000Z"
"2810";2000022.435611665;2016577.0713941278;1998590.7988146862;2016577.0713941278;713684520123.1715;39729375449408.78;"2024-06-27T09:00:00.000Z"
"2810";2016391.1246410306;2018724.7735523873;2009329.4161371049;2009329.4161371049;712349984909.6199;39658369340785.72;"2024-06-27T10:00:00.000Z"
"2810";2010046.0272537712;2013762.4957228536;2010046.0272537712;2011223.7411919362;709254739318.1019;39694535080750.055;"2024-06-27T11:00:00.000Z"
"2810";2008288.9464364392;2017035.3494563573;2006567.216263874;2012106.621680091;722740567143.4427;39675979469311.21;"2024-06-27T12:00:00.000Z"
"2810";2012637.9019402957;2032508.022104356;2012541.2795832432;2032508.022104356;745290987258.8358;40054098235100.195;"2024-06-27T13:00:00.000Z"
"2810";2035929.947126122;2046309.761095756;2024942.7943923515;2025270.8300878222;766894172355.1047;39991284597549.73;"2024-06-27T14:00:00.000Z"
"2810";2025781.8507674474;2029434.0938494902;2020721.5712648418;2021750.9123824374;763328772096.9747;39850233970541.33;"2024-06-27T15:00:00.000Z"
"2810";2021457.6140582906;2027276.5469612742;2019346.2405554694;2024886.0348553439;764115212168.5182;39958731084335.6;"2024-06-27T16:00:00.000Z"
"2810";2024189.4171497656;2033792.685579594;2023821.6407351093;2028854.6333671743;741505513579.4042;40002125880699.03;"2024-06-27T17:00:00.000Z"
"2810";2028457.7043205574;2030876.0469938829;2024951.487410289;2027475.930127011;733806166888.116;39968361721781.69;"2024-06-27T18:00:00.000Z"
"2810";2029598.882195725;2029598.882195725;2014654.3650241103;2017430.0467360157;714128092262.2737;39782240473699.63;"2024-06-27T19:00:00.000Z"
"2810";2014775.7573167766;2019096.277518426;2012960.1284461839;2017413.0940985794;702081822487.572;39771856172006.13;"2024-06-27T20:00:00.000Z"
"2810";2017048.912758394;2022119.1939449967;2016457.5592250323;2020132.7632107907;699055504991.2942;39788853117423.97;"2024-06-27T21:00:00.000Z"
"2810";2020622.4390267327;2024970.1439476851;2020180.305572459;2023896.1464418673;697042459365.9297;39914460002593.28;"2024-06-27T22:00:00.000Z"
"2810";2024236.4204892784;2026667.3359735715;2024236.4204892784;2026243.5348218142;698135849804.2433;39941987540504.84;"2024-06-27T23:00:00.000Z"
"2810";2026617.6981359797;2027044.2859743347;2022042.006558863;2022965.6396034455;695256502873.7544;39868751772495.75;"2024-06-28T00:00:00.000Z"
"2810";2023367.891755022;2044936.382018737;2022338.8015939714;2041241.499902457;712480043479.6129;40243387459172.32;"2024-06-28T01:00:00.000Z"
"2810";2041387.001553152;2042285.9626087788;2024904.4590393351;2028556.780345276;730196506703.5043;40021565153287.11;"2024-06-28T02:00:00.000Z"
"2810";2029055.5561916544;2029055.5561916544;2026347.4791623;2028812.1616017856;0;0;"2024-06-28T03:00:00Z"
